,Time,State,Probability
1812,0.14016666334556574,1,0.06
1813,0.14016666334556574,2,0.15
1814,0.14016666334556574,3,0.62
1815,0.14016666334556574,4,0.17
1816,0.14050457433872215,1,0.06
1817,0.14050457433872215,2,0.16
1818,0.14050457433872215,3,0.6
1819,0.14050457433872215,4,0.18
1820,0.14079968351189223,1,0.05
1821,0.14079968351189223,2,0.16
1822,0.14079968351189223,3,0.61
1823,0.14079968351189223,4,0.18
1824,0.1408979909961084,1,0.05
1825,0.1408979909961084,2,0.16
1826,0.1408979909961084,3,0.63
1827,0.1408979909961084,4,0.16
1828,0.1410444638136671,1,0.06
1829,0.1410444638136671,2,0.16
1830,0.1410444638136671,3,0.62
1831,0.1410444638136671,4,0.16
1832,0.14145580144820072,1,0.06
1833,0.14145580144820072,2,0.15
1834,0.14145580144820072,3,0.62
1835,0.14145580144820072,4,0.17
1836,0.1416728000154767,1,0.05
1837,0.1416728000154767,2,0.15
1838,0.1416728000154767,3,0.61
1839,0.1416728000154767,4,0.19
1840,0.14186320171452824,1,0.05
1841,0.14186320171452824,2,0.15
1842,0.14186320171452824,3,0.59
1843,0.14186320171452824,4,0.21
1844,0.1420932201225532,1,0.05
1845,0.1420932201225532,2,0.14
1846,0.1420932201225532,3,0.59
1847,0.1420932201225532,4,0.22
1848,0.14252769693272302,1,0.06
1849,0.14252769693272302,2,0.14
1850,0.14252769693272302,3,0.58
1851,0.14252769693272302,4,0.22
1852,0.1427461231407637,1,0.04
1853,0.1427461231407637,2,0.14
1854,0.1427461231407637,3,0.58
1855,0.1427461231407637,4,0.24
1856,0.1431626645005125,1,0.04
1857,0.1431626645005125,2,0.15
1858,0.1431626645005125,3,0.56
1859,0.1431626645005125,4,0.25
1860,0.1433473274446992,1,0.05
1861,0.1433473274446992,2,0.15
1862,0.1433473274446992,3,0.57
1863,0.1433473274446992,4,0.23
1864,0.14358759160194018,1,0.06
1865,0.14358759160194018,2,0.15
1866,0.14358759160194018,3,0.56
1867,0.14358759160194018,4,0.23
1868,0.14466158449719807,1,0.06
1869,0.14466158449719807,2,0.15
1870,0.14466158449719807,3,0.56
1871,0.14466158449719807,4,0.23
1872,0.14472689699816582,1,0.07
1873,0.14472689699816582,2,0.16
1874,0.14472689699816582,3,0.55
1875,0.14472689699816582,4,0.22
1876,0.1451882480008239,1,0.07
1877,0.1451882480008239,2,0.16
1878,0.1451882480008239,3,0.55
1879,0.1451882480008239,4,0.22
1880,0.14573217228893293,1,0.08
1881,0.14573217228893293,2,0.16
1882,0.14573217228893293,3,0.54
